starttime	seconds	ctime	dtime	ttime	wait
Sun Aug 18 00:42:34 2019	1566081754	0	3	3	3
Sun Aug 18 00:42:35 2019	1566081755	0	3	3	2
Sun Aug 18 00:42:38 2019	1566081758	0	3	3	2
Sun Aug 18 00:42:43 2019	1566081763	0	3	3	3
Sun Aug 18 00:42:43 2019	1566081763	0	3	3	3
Sun Aug 18 00:42:35 2019	1566081755	0	3	3	3
Sun Aug 18 00:42:38 2019	1566081758	0	3	3	3
Sun Aug 18 00:42:28 2019	1566081748	0	3	3	3
Sun Aug 18 00:42:33 2019	1566081753	0	3	3	3
Sun Aug 18 00:42:36 2019	1566081756	0	3	3	3
Sun Aug 18 00:42:37 2019	1566081757	0	3	3	3
Sun Aug 18 00:42:30 2019	1566081750	0	3	3	3
Sun Aug 18 00:42:37 2019	1566081757	0	3	3	3
Sun Aug 18 00:42:30 2019	1566081750	0	3	3	3
Sun Aug 18 00:42:35 2019	1566081755	0	3	3	3
Sun Aug 18 00:42:38 2019	1566081758	0	3	3	3
Sun Aug 18 00:42:30 2019	1566081750	0	3	3	3
Sun Aug 18 00:42:44 2019	1566081764	0	3	3	3
Sun Aug 18 00:42:38 2019	1566081758	0	3	3	3
Sun Aug 18 00:42:42 2019	1566081762	0	3	3	3
Sun Aug 18 00:42:42 2019	1566081762	0	3	3	3
Sun Aug 18 00:42:29 2019	1566081749	0	3	3	3
Sun Aug 18 00:42:29 2019	1566081749	0	3	3	3
Sun Aug 18 00:42:38 2019	1566081758	0	3	3	3
Sun Aug 18 00:42:43 2019	1566081763	0	3	3	3
Sun Aug 18 00:42:30 2019	1566081750	0	3	3	3
Sun Aug 18 00:42:33 2019	1566081753	0	3	3	3
Sun Aug 18 00:42:38 2019	1566081758	0	3	3	3
Sun Aug 18 00:42:42 2019	1566081762	0	3	3	3
Sun Aug 18 00:42:44 2019	1566081764	0	3	3	3
Sun Aug 18 00:42:38 2019	1566081758	0	3	3	3
Sun Aug 18 00:42:35 2019	1566081755	0	3	3	3
Sun Aug 18 00:42:38 2019	1566081758	0	3	3	3
Sun Aug 18 00:42:27 2019	1566081747	0	3	3	3
Sun Aug 18 00:42:28 2019	1566081748	0	3	3	3
Sun Aug 18 00:42:30 2019	1566081750	0	3	3	3
Sun Aug 18 00:42:38 2019	1566081758	0	3	3	3
Sun Aug 18 00:42:30 2019	1566081750	0	3	3	3
Sun Aug 18 00:42:30 2019	1566081750	0	3	3	3
Sun Aug 18 00:42:36 2019	1566081756	0	3	3	3
Sun Aug 18 00:42:38 2019	1566081758	0	3	3	3
Sun Aug 18 00:42:19 2019	1566081739	0	3	3	3
Sun Aug 18 00:42:36 2019	1566081756	0	3	3	3
Sun Aug 18 00:42:32 2019	1566081752	0	3	3	3
Sun Aug 18 00:42:37 2019	1566081757	0	3	3	3
Sun Aug 18 00:42:28 2019	1566081748	0	3	3	3
Sun Aug 18 00:42:44 2019	1566081764	0	3	3	3
Sun Aug 18 00:42:33 2019	1566081753	0	3	3	3
Sun Aug 18 00:42:27 2019	1566081747	0	3	3	3
Sun Aug 18 00:42:39 2019	1566081759	0	3	3	3
Sun Aug 18 00:42:36 2019	1566081756	0	3	3	3
Sun Aug 18 00:42:27 2019	1566081747	0	3	3	3
Sun Aug 18 00:42:33 2019	1566081753	0	3	3	3
Sun Aug 18 00:42:36 2019	1566081756	0	3	3	3
Sun Aug 18 00:42:30 2019	1566081750	0	3	3	3
Sun Aug 18 00:42:37 2019	1566081757	0	3	3	3
Sun Aug 18 00:42:34 2019	1566081754	0	3	3	3
Sun Aug 18 00:42:34 2019	1566081754	0	3	3	3
Sun Aug 18 00:42:31 2019	1566081751	0	3	3	3
Sun Aug 18 00:42:42 2019	1566081762	0	3	3	3
Sun Aug 18 00:42:39 2019	1566081759	0	3	3	3
Sun Aug 18 00:42:34 2019	1566081754	0	3	3	3
Sun Aug 18 00:42:30 2019	1566081750	0	3	3	3
Sun Aug 18 00:42:40 2019	1566081760	0	3	3	3
Sun Aug 18 00:42:41 2019	1566081761	0	3	3	3
Sun Aug 18 00:42:40 2019	1566081760	0	3	3	2
Sun Aug 18 00:42:28 2019	1566081748	0	3	3	3
Sun Aug 18 00:42:39 2019	1566081759	0	3	3	3
Sun Aug 18 00:42:44 2019	1566081764	0	3	3	3
Sun Aug 18 00:42:28 2019	1566081748	0	3	3	3
Sun Aug 18 00:42:35 2019	1566081755	0	3	3	3
Sun Aug 18 00:42:43 2019	1566081763	0	3	3	3
Sun Aug 18 00:42:39 2019	1566081759	0	3	3	3
Sun Aug 18 00:42:39 2019	1566081759	0	3	3	3
Sun Aug 18 00:42:27 2019	1566081747	0	3	3	3
Sun Aug 18 00:42:35 2019	1566081755	0	3	3	3
Sun Aug 18 00:42:38 2019	1566081758	0	3	3	3
Sun Aug 18 00:42:35 2019	1566081755	0	3	3	3
Sun Aug 18 00:42:40 2019	1566081760	0	3	3	3
Sun Aug 18 00:42:41 2019	1566081761	0	3	3	3
Sun Aug 18 00:42:44 2019	1566081764	0	3	3	3
Sun Aug 18 00:42:34 2019	1566081754	0	3	3	3
Sun Aug 18 00:42:39 2019	1566081759	0	3	3	3
Sun Aug 18 00:42:36 2019	1566081756	0	3	3	3
Sun Aug 18 00:42:39 2019	1566081759	0	3	3	3
Sun Aug 18 00:42:32 2019	1566081752	0	3	3	3
Sun Aug 18 00:42:36 2019	1566081756	0	3	3	3
Sun Aug 18 00:42:30 2019	1566081750	0	3	3	3
Sun Aug 18 00:42:35 2019	1566081755	0	3	3	3
Sun Aug 18 00:42:29 2019	1566081749	0	3	3	3
Sun Aug 18 00:42:37 2019	1566081757	0	3	3	3
Sun Aug 18 00:42:44 2019	1566081764	0	3	3	3
Sun Aug 18 00:42:30 2019	1566081750	0	3	3	3
Sun Aug 18 00:42:27 2019	1566081747	0	3	3	3
Sun Aug 18 00:42:37 2019	1566081757	0	3	3	2
Sun Aug 18 00:42:34 2019	1566081754	0	3	3	2
Sun Aug 18 00:42:35 2019	1566081755	0	3	3	3
Sun Aug 18 00:42:41 2019	1566081761	0	3	3	3
Sun Aug 18 00:42:43 2019	1566081763	0	3	3	3
Sun Aug 18 00:42:36 2019	1566081756	0	3	3	3
Sun Aug 18 00:42:39 2019	1566081759	0	3	3	3
Sun Aug 18 00:42:39 2019	1566081759	0	3	3	3
Sun Aug 18 00:42:40 2019	1566081760	0	3	3	3
Sun Aug 18 00:42:32 2019	1566081752	0	3	3	3
Sun Aug 18 00:42:30 2019	1566081750	0	3	3	3
Sun Aug 18 00:42:32 2019	1566081752	0	3	3	3
Sun Aug 18 00:42:31 2019	1566081751	0	3	3	3
Sun Aug 18 00:42:39 2019	1566081759	0	3	3	3
Sun Aug 18 00:42:33 2019	1566081753	0	3	3	3
Sun Aug 18 00:42:33 2019	1566081753	0	3	3	3
Sun Aug 18 00:42:43 2019	1566081763	0	3	3	3
Sun Aug 18 00:42:33 2019	1566081753	0	3	3	3
Sun Aug 18 00:42:30 2019	1566081750	0	3	3	3
Sun Aug 18 00:42:41 2019	1566081761	0	3	3	3
Sun Aug 18 00:42:27 2019	1566081747	0	3	3	3
Sun Aug 18 00:42:37 2019	1566081757	0	3	3	3
Sun Aug 18 00:42:42 2019	1566081762	0	3	3	3
Sun Aug 18 00:42:33 2019	1566081753	0	3	3	3
Sun Aug 18 00:42:40 2019	1566081760	0	3	3	3
Sun Aug 18 00:42:29 2019	1566081749	0	3	3	3
Sun Aug 18 00:42:33 2019	1566081753	0	3	3	3
Sun Aug 18 00:42:26 2019	1566081746	0	3	3	3
Sun Aug 18 00:42:29 2019	1566081749	0	3	3	3
Sun Aug 18 00:42:36 2019	1566081756	0	3	3	3
Sun Aug 18 00:42:33 2019	1566081753	0	3	3	3
Sun Aug 18 00:42:28 2019	1566081748	0	3	3	2
Sun Aug 18 00:42:27 2019	1566081747	0	3	3	2
Sun Aug 18 00:42:43 2019	1566081763	0	3	3	2
Sun Aug 18 00:42:43 2019	1566081763	0	3	3	2
Sun Aug 18 00:42:38 2019	1566081758	0	3	3	3
Sun Aug 18 00:42:38 2019	1566081758	0	3	3	3
Sun Aug 18 00:42:35 2019	1566081755	0	3	3	3
Sun Aug 18 00:42:43 2019	1566081763	0	3	3	3
Sun Aug 18 00:42:43 2019	1566081763	0	3	3	3
Sun Aug 18 00:42:44 2019	1566081764	0	3	3	3
Sun Aug 18 00:42:30 2019	1566081750	0	3	3	3
Sun Aug 18 00:42:38 2019	1566081758	0	3	3	3
Sun Aug 18 00:42:43 2019	1566081763	0	3	3	3
Sun Aug 18 00:42:32 2019	1566081752	0	3	3	3
Sun Aug 18 00:42:42 2019	1566081762	0	3	3	3
Sun Aug 18 00:42:32 2019	1566081752	0	3	3	3
Sun Aug 18 00:42:35 2019	1566081755	0	3	3	3
Sun Aug 18 00:42:35 2019	1566081755	0	3	3	3
Sun Aug 18 00:42:30 2019	1566081750	0	3	3	3
Sun Aug 18 00:42:38 2019	1566081758	0	3	3	3
Sun Aug 18 00:42:43 2019	1566081763	0	3	3	3
Sun Aug 18 00:42:43 2019	1566081763	0	3	3	3
Sun Aug 18 00:42:42 2019	1566081762	0	3	3	3
Sun Aug 18 00:42:43 2019	1566081763	0	3	3	3
Sun Aug 18 00:42:25 2019	1566081745	0	3	3	3
Sun Aug 18 00:42:38 2019	1566081758	0	3	3	3
Sun Aug 18 00:42:39 2019	1566081759	0	3	3	3
Sun Aug 18 00:42:30 2019	1566081750	0	3	3	3
Sun Aug 18 00:42:41 2019	1566081761	0	3	3	3
Sun Aug 18 00:42:32 2019	1566081752	0	3	3	3
Sun Aug 18 00:42:29 2019	1566081749	0	3	3	3
Sun Aug 18 00:42:38 2019	1566081758	0	3	3	3
Sun Aug 18 00:42:36 2019	1566081756	0	3	3	3
Sun Aug 18 00:42:31 2019	1566081751	0	3	3	3
Sun Aug 18 00:42:40 2019	1566081760	0	3	3	3
Sun Aug 18 00:42:34 2019	1566081754	0	3	3	3
Sun Aug 18 00:42:37 2019	1566081757	0	3	3	3
Sun Aug 18 00:42:33 2019	1566081753	0	3	3	3
Sun Aug 18 00:42:38 2019	1566081758	0	3	3	3
Sun Aug 18 00:42:43 2019	1566081763	0	3	3	3
Sun Aug 18 00:42:34 2019	1566081754	1	2	3	2
Sun Aug 18 00:42:29 2019	1566081749	0	3	3	2
Sun Aug 18 00:42:40 2019	1566081760	0	3	3	2
Sun Aug 18 00:42:31 2019	1566081751	0	3	3	2
Sun Aug 18 00:42:30 2019	1566081750	0	3	3	3
Sun Aug 18 00:42:43 2019	1566081763	0	3	3	3
Sun Aug 18 00:42:39 2019	1566081759	0	3	3	3
Sun Aug 18 00:42:40 2019	1566081760	0	3	3	3
Sun Aug 18 00:42:37 2019	1566081757	0	3	3	3
Sun Aug 18 00:42:38 2019	1566081758	0	3	3	3
Sun Aug 18 00:42:28 2019	1566081748	0	3	3	3
Sun Aug 18 00:42:39 2019	1566081759	0	3	3	3
Sun Aug 18 00:42:27 2019	1566081747	0	3	3	3
Sun Aug 18 00:42:33 2019	1566081753	0	3	3	3
Sun Aug 18 00:42:35 2019	1566081755	0	3	3	3
Sun Aug 18 00:42:40 2019	1566081760	0	3	3	3
Sun Aug 18 00:42:38 2019	1566081758	0	3	3	3
Sun Aug 18 00:42:38 2019	1566081758	0	3	3	3
Sun Aug 18 00:42:35 2019	1566081755	0	3	3	3
Sun Aug 18 00:42:44 2019	1566081764	0	3	3	3
Sun Aug 18 00:42:30 2019	1566081750	0	3	3	3
Sun Aug 18 00:42:42 2019	1566081762	0	3	3	3
Sun Aug 18 00:42:33 2019	1566081753	0	3	3	3
Sun Aug 18 00:42:39 2019	1566081759	0	3	3	3
Sun Aug 18 00:42:27 2019	1566081747	0	3	3	3
Sun Aug 18 00:42:41 2019	1566081761	0	3	3	3
Sun Aug 18 00:42:31 2019	1566081751	0	3	3	3
Sun Aug 18 00:42:40 2019	1566081760	0	3	3	3
Sun Aug 18 00:42:27 2019	1566081747	0	3	3	3
Sun Aug 18 00:42:29 2019	1566081749	0	3	3	3
Sun Aug 18 00:42:37 2019	1566081757	0	3	3	3
Sun Aug 18 00:42:42 2019	1566081762	0	3	3	3
Sun Aug 18 00:42:34 2019	1566081754	0	3	3	3
Sun Aug 18 00:42:34 2019	1566081754	0	3	3	3
Sun Aug 18 00:42:36 2019	1566081756	0	3	3	3
Sun Aug 18 00:42:35 2019	1566081755	0	3	3	3
Sun Aug 18 00:42:30 2019	1566081750	0	3	3	3
Sun Aug 18 00:42:35 2019	1566081755	0	3	3	3
Sun Aug 18 00:42:29 2019	1566081749	0	3	3	3
Sun Aug 18 00:42:43 2019	1566081763	0	3	3	3
Sun Aug 18 00:42:28 2019	1566081748	0	3	3	3
Sun Aug 18 00:42:38 2019	1566081758	0	3	3	3
Sun Aug 18 00:42:33 2019	1566081753	0	3	3	3
Sun Aug 18 00:42:42 2019	1566081762	0	3	3	3
Sun Aug 18 00:42:38 2019	1566081758	0	3	3	3
Sun Aug 18 00:42:43 2019	1566081763	0	3	3	3
Sun Aug 18 00:42:30 2019	1566081750	0	3	3	3
Sun Aug 18 00:42:40 2019	1566081760	0	3	3	3
Sun Aug 18 00:42:42 2019	1566081762	0	3	3	3
Sun Aug 18 00:42:37 2019	1566081757	0	3	3	3
Sun Aug 18 00:42:43 2019	1566081763	0	3	3	3
Sun Aug 18 00:42:42 2019	1566081762	0	3	3	3
Sun Aug 18 00:42:43 2019	1566081763	0	3	3	3
Sun Aug 18 00:42:22 2019	1566081742	0	3	3	3
Sun Aug 18 00:42:31 2019	1566081751	0	3	3	3
Sun Aug 18 00:42:31 2019	1566081751	0	3	3	3
Sun Aug 18 00:42:24 2019	1566081744	0	3	3	3
Sun Aug 18 00:42:29 2019	1566081749	0	3	3	3
Sun Aug 18 00:42:31 2019	1566081751	0	3	3	3
Sun Aug 18 00:42:29 2019	1566081749	0	3	3	3
Sun Aug 18 00:42:29 2019	1566081749	0	3	3	3
Sun Aug 18 00:42:44 2019	1566081764	0	3	3	3
Sun Aug 18 00:42:36 2019	1566081756	0	3	3	3
Sun Aug 18 00:42:28 2019	1566081748	0	3	3	3
Sun Aug 18 00:42:22 2019	1566081742	0	3	3	3
Sun Aug 18 00:42:38 2019	1566081758	0	3	3	3
Sun Aug 18 00:42:37 2019	1566081757	0	3	3	2
Sun Aug 18 00:42:37 2019	1566081757	0	3	3	2
Sun Aug 18 00:42:35 2019	1566081755	0	3	3	2
Sun Aug 18 00:42:43 2019	1566081763	0	3	3	3
Sun Aug 18 00:42:32 2019	1566081752	0	3	3	3
Sun Aug 18 00:42:35 2019	1566081755	0	3	3	3
Sun Aug 18 00:42:43 2019	1566081763	0	3	3	3
Sun Aug 18 00:42:21 2019	1566081741	0	3	3	3
Sun Aug 18 00:42:33 2019	1566081753	0	3	3	3
Sun Aug 18 00:42:36 2019	1566081756	0	3	3	3
Sun Aug 18 00:42:42 2019	1566081762	0	3	3	3
Sun Aug 18 00:42:39 2019	1566081759	0	3	3	3
Sun Aug 18 00:42:41 2019	1566081761	0	3	3	3
Sun Aug 18 00:42:43 2019	1566081763	0	3	3	3
Sun Aug 18 00:42:27 2019	1566081747	0	3	3	3
Sun Aug 18 00:42:41 2019	1566081761	0	3	3	3
Sun Aug 18 00:42:36 2019	1566081756	0	3	3	3
Sun Aug 18 00:42:38 2019	1566081758	0	3	3	3
Sun Aug 18 00:42:41 2019	1566081761	0	3	3	3
Sun Aug 18 00:42:38 2019	1566081758	0	3	3	3
Sun Aug 18 00:42:41 2019	1566081761	0	3	3	3
Sun Aug 18 00:42:27 2019	1566081747	0	3	3	3
Sun Aug 18 00:42:35 2019	1566081755	0	3	3	3
Sun Aug 18 00:42:40 2019	1566081760	0	3	3	3
Sun Aug 18 00:42:26 2019	1566081746	0	3	3	3
Sun Aug 18 00:42:39 2019	1566081759	0	3	3	3
Sun Aug 18 00:42:35 2019	1566081755	0	3	3	3
Sun Aug 18 00:42:40 2019	1566081760	0	3	3	3
Sun Aug 18 00:42:35 2019	1566081755	0	3	3	3
Sun Aug 18 00:42:36 2019	1566081756	0	3	3	3
Sun Aug 18 00:42:41 2019	1566081761	0	3	3	3
Sun Aug 18 00:42:43 2019	1566081763	0	3	3	3
Sun Aug 18 00:42:27 2019	1566081747	0	3	3	3
Sun Aug 18 00:42:27 2019	1566081747	0	3	3	3
Sun Aug 18 00:42:39 2019	1566081759	0	3	3	2
Sun Aug 18 00:42:35 2019	1566081755	0	3	3	3
Sun Aug 18 00:42:34 2019	1566081754	0	3	3	3
Sun Aug 18 00:42:36 2019	1566081756	0	3	3	3
Sun Aug 18 00:42:22 2019	1566081742	0	3	3	3
Sun Aug 18 00:42:36 2019	1566081756	0	3	3	3
Sun Aug 18 00:42:22 2019	1566081742	0	3	3	3
Sun Aug 18 00:42:28 2019	1566081748	0	3	3	3
Sun Aug 18 00:42:43 2019	1566081763	0	3	3	3
Sun Aug 18 00:42:43 2019	1566081763	0	3	3	3
Sun Aug 18 00:42:31 2019	1566081751	0	3	3	3
Sun Aug 18 00:42:37 2019	1566081757	0	3	3	3
Sun Aug 18 00:42:36 2019	1566081756	0	3	3	3
Sun Aug 18 00:42:31 2019	1566081751	0	3	3	3
Sun Aug 18 00:42:38 2019	1566081758	0	3	3	3
Sun Aug 18 00:42:35 2019	1566081755	0	3	3	3
Sun Aug 18 00:42:31 2019	1566081751	0	3	3	3
Sun Aug 18 00:42:35 2019	1566081755	0	3	3	3
Sun Aug 18 00:42:39 2019	1566081759	0	3	3	3
Sun Aug 18 00:42:44 2019	1566081764	0	3	3	3
Sun Aug 18 00:42:29 2019	1566081749	0	3	3	3
Sun Aug 18 00:42:36 2019	1566081756	0	3	3	3
Sun Aug 18 00:42:42 2019	1566081762	0	3	3	3
Sun Aug 18 00:42:29 2019	1566081749	0	3	3	3
Sun Aug 18 00:42:41 2019	1566081761	0	3	3	3
Sun Aug 18 00:42:28 2019	1566081748	0	3	3	3
Sun Aug 18 00:42:35 2019	1566081755	0	3	3	3
Sun Aug 18 00:42:37 2019	1566081757	0	3	3	3
Sun Aug 18 00:42:41 2019	1566081761	0	3	3	3
Sun Aug 18 00:42:43 2019	1566081763	0	3	3	3
Sun Aug 18 00:42:37 2019	1566081757	0	3	3	3
Sun Aug 18 00:42:38 2019	1566081758	0	3	3	3
Sun Aug 18 00:42:39 2019	1566081759	0	3	3	3
Sun Aug 18 00:42:32 2019	1566081752	0	3	3	3
Sun Aug 18 00:42:31 2019	1566081751	0	3	3	3
Sun Aug 18 00:42:43 2019	1566081763	0	3	3	3
Sun Aug 18 00:42:31 2019	1566081751	0	3	3	3
Sun Aug 18 00:42:39 2019	1566081759	0	3	3	3
Sun Aug 18 00:42:40 2019	1566081760	0	3	3	3
Sun Aug 18 00:42:27 2019	1566081747	0	3	3	3
Sun Aug 18 00:42:30 2019	1566081750	0	3	3	3
Sun Aug 18 00:42:39 2019	1566081759	0	3	3	3
Sun Aug 18 00:42:40 2019	1566081760	0	3	3	3
Sun Aug 18 00:42:41 2019	1566081761	0	3	3	3
Sun Aug 18 00:42:30 2019	1566081750	0	3	3	3
Sun Aug 18 00:42:40 2019	1566081760	0	3	3	3
Sun Aug 18 00:42:34 2019	1566081754	0	3	3	3
Sun Aug 18 00:42:42 2019	1566081762	0	3	3	3
Sun Aug 18 00:42:39 2019	1566081759	0	3	3	3
Sun Aug 18 00:42:26 2019	1566081746	0	3	3	3
Sun Aug 18 00:42:40 2019	1566081760	0	3	3	3
Sun Aug 18 00:42:29 2019	1566081749	0	3	3	3
Sun Aug 18 00:42:38 2019	1566081758	0	3	3	3
Sun Aug 18 00:42:32 2019	1566081752	0	3	3	3
Sun Aug 18 00:42:44 2019	1566081764	0	3	3	3
Sun Aug 18 00:42:40 2019	1566081760	0	3	3	3
Sun Aug 18 00:42:21 2019	1566081741	0	3	3	3
Sun Aug 18 00:42:42 2019	1566081762	0	3	3	3
Sun Aug 18 00:42:37 2019	1566081757	0	3	3	3
Sun Aug 18 00:42:41 2019	1566081761	0	3	3	3
Sun Aug 18 00:42:32 2019	1566081752	0	3	3	3
Sun Aug 18 00:42:43 2019	1566081763	0	3	3	3
Sun Aug 18 00:42:40 2019	1566081760	0	3	3	3
Sun Aug 18 00:42:43 2019	1566081763	0	3	3	3
Sun Aug 18 00:42:43 2019	1566081763	0	3	3	3
Sun Aug 18 00:42:28 2019	1566081748	0	3	3	3
Sun Aug 18 00:42:28 2019	1566081748	0	3	3	3
Sun Aug 18 00:42:21 2019	1566081741	0	3	3	3
Sun Aug 18 00:42:34 2019	1566081754	0	3	3	3
Sun Aug 18 00:42:32 2019	1566081752	0	3	3	3
Sun Aug 18 00:42:43 2019	1566081763	0	3	3	3
Sun Aug 18 00:42:33 2019	1566081753	0	3	3	2
Sun Aug 18 00:42:42 2019	1566081762	0	3	3	3
Sun Aug 18 00:42:28 2019	1566081748	0	3	3	3
Sun Aug 18 00:42:21 2019	1566081741	0	3	3	3
Sun Aug 18 00:42:30 2019	1566081750	0	3	3	3
Sun Aug 18 00:42:21 2019	1566081741	0	3	3	3
Sun Aug 18 00:42:26 2019	1566081746	0	3	3	3
Sun Aug 18 00:42:23 2019	1566081743	0	3	3	3
Sun Aug 18 00:42:35 2019	1566081755	0	3	3	3
Sun Aug 18 00:42:30 2019	1566081750	0	3	3	3
Sun Aug 18 00:42:22 2019	1566081742	0	3	3	3
Sun Aug 18 00:42:40 2019	1566081760	0	3	3	3
Sun Aug 18 00:42:28 2019	1566081748	0	3	3	3
Sun Aug 18 00:42:37 2019	1566081757	0	3	3	3
Sun Aug 18 00:42:40 2019	1566081760	0	3	3	3
Sun Aug 18 00:42:36 2019	1566081756	0	3	3	3
Sun Aug 18 00:42:40 2019	1566081760	0	3	3	3
Sun Aug 18 00:42:27 2019	1566081747	0	3	3	3
Sun Aug 18 00:42:35 2019	1566081755	0	3	3	3
Sun Aug 18 00:42:43 2019	1566081763	0	3	3	3
Sun Aug 18 00:42:33 2019	1566081753	0	3	3	3
Sun Aug 18 00:42:34 2019	1566081754	0	3	3	2
Sun Aug 18 00:42:37 2019	1566081757	0	3	3	3
Sun Aug 18 00:42:32 2019	1566081752	0	3	3	3
Sun Aug 18 00:42:38 2019	1566081758	0	3	3	3
Sun Aug 18 00:42:37 2019	1566081757	0	3	3	3
Sun Aug 18 00:42:33 2019	1566081753	0	3	3	3
Sun Aug 18 00:42:42 2019	1566081762	0	3	3	3
Sun Aug 18 00:42:35 2019	1566081755	0	3	3	3
Sun Aug 18 00:42:39 2019	1566081759	0	3	3	3
Sun Aug 18 00:42:33 2019	1566081753	0	3	3	3
Sun Aug 18 00:42:30 2019	1566081750	0	3	3	3
Sun Aug 18 00:42:32 2019	1566081752	0	3	3	3
Sun Aug 18 00:42:26 2019	1566081746	0	3	3	3
Sun Aug 18 00:42:27 2019	1566081747	0	3	3	3
Sun Aug 18 00:42:25 2019	1566081745	0	3	3	3
Sun Aug 18 00:42:26 2019	1566081746	0	3	3	3
Sun Aug 18 00:42:39 2019	1566081759	0	3	3	3
Sun Aug 18 00:42:44 2019	1566081764	0	3	3	3
Sun Aug 18 00:42:44 2019	1566081764	0	3	3	3
Sun Aug 18 00:42:29 2019	1566081749	0	3	3	3
Sun Aug 18 00:42:24 2019	1566081744	0	3	3	3
Sun Aug 18 00:42:36 2019	1566081756	0	3	3	3
Sun Aug 18 00:42:38 2019	1566081758	0	3	3	3
Sun Aug 18 00:42:32 2019	1566081752	0	3	3	3
Sun Aug 18 00:42:36 2019	1566081756	0	3	3	3
Sun Aug 18 00:42:41 2019	1566081761	0	3	3	3
Sun Aug 18 00:42:42 2019	1566081762	0	3	3	3
Sun Aug 18 00:42:32 2019	1566081752	0	3	3	3
Sun Aug 18 00:42:37 2019	1566081757	0	3	3	3
Sun Aug 18 00:42:38 2019	1566081758	0	3	3	3
Sun Aug 18 00:42:44 2019	1566081764	0	3	3	3
Sun Aug 18 00:42:37 2019	1566081757	0	3	3	3
Sun Aug 18 00:42:36 2019	1566081756	0	3	3	3
Sun Aug 18 00:42:35 2019	1566081755	0	3	3	3
Sun Aug 18 00:42:28 2019	1566081748	0	3	3	3
Sun Aug 18 00:42:37 2019	1566081757	0	3	3	2
Sun Aug 18 00:42:38 2019	1566081758	0	3	3	3
Sun Aug 18 00:42:43 2019	1566081763	0	3	3	3
Sun Aug 18 00:42:44 2019	1566081764	0	3	3	3
Sun Aug 18 00:42:36 2019	1566081756	0	3	3	3
Sun Aug 18 00:42:43 2019	1566081763	0	3	3	3
Sun Aug 18 00:42:22 2019	1566081742	0	3	3	3
Sun Aug 18 00:42:29 2019	1566081749	0	3	3	3
Sun Aug 18 00:42:38 2019	1566081758	0	3	3	3
Sun Aug 18 00:42:30 2019	1566081750	0	3	3	3
Sun Aug 18 00:42:36 2019	1566081756	0	3	3	3
Sun Aug 18 00:42:26 2019	1566081746	0	3	3	3
Sun Aug 18 00:42:29 2019	1566081749	0	3	3	3
Sun Aug 18 00:42:37 2019	1566081757	0	3	3	3
Sun Aug 18 00:42:38 2019	1566081758	0	3	3	3
Sun Aug 18 00:42:27 2019	1566081747	0	3	3	3
Sun Aug 18 00:42:41 2019	1566081761	0	3	3	3
Sun Aug 18 00:42:40 2019	1566081760	0	3	3	3
Sun Aug 18 00:42:26 2019	1566081746	0	3	3	3
Sun Aug 18 00:42:30 2019	1566081750	0	3	3	3
Sun Aug 18 00:42:25 2019	1566081745	0	3	3	3
Sun Aug 18 00:42:33 2019	1566081753	0	3	3	3
Sun Aug 18 00:42:31 2019	1566081751	0	3	3	3
Sun Aug 18 00:42:44 2019	1566081764	0	3	3	3
Sun Aug 18 00:42:38 2019	1566081758	0	3	3	3
Sun Aug 18 00:42:43 2019	1566081763	0	3	3	3
Sun Aug 18 00:42:41 2019	1566081761	0	3	3	3
Sun Aug 18 00:42:42 2019	1566081762	0	3	3	3
Sun Aug 18 00:42:25 2019	1566081745	0	3	3	3
Sun Aug 18 00:42:28 2019	1566081748	0	3	3	3
Sun Aug 18 00:42:32 2019	1566081752	0	3	3	3
Sun Aug 18 00:42:32 2019	1566081752	0	3	3	3
Sun Aug 18 00:42:27 2019	1566081747	0	3	3	3
Sun Aug 18 00:42:37 2019	1566081757	0	3	3	3
Sun Aug 18 00:42:38 2019	1566081758	0	3	3	3
Sun Aug 18 00:42:28 2019	1566081748	1	2	3	2
Sun Aug 18 00:42:32 2019	1566081752	1	2	3	2
Sun Aug 18 00:42:28 2019	1566081748	0	3	3	3
Sun Aug 18 00:42:28 2019	1566081748	0	3	3	3
Sun Aug 18 00:42:41 2019	1566081761	0	3	3	3
Sun Aug 18 00:42:36 2019	1566081756	0	3	3	3
Sun Aug 18 00:42:43 2019	1566081763	0	3	3	3
Sun Aug 18 00:42:27 2019	1566081747	0	3	3	3
Sun Aug 18 00:42:44 2019	1566081764	0	3	3	3
Sun Aug 18 00:42:35 2019	1566081755	0	3	3	3
Sun Aug 18 00:42:32 2019	1566081752	0	3	3	3
Sun Aug 18 00:42:43 2019	1566081763	0	3	3	3
Sun Aug 18 00:42:30 2019	1566081750	0	3	3	3
Sun Aug 18 00:42:38 2019	1566081758	0	3	3	3
Sun Aug 18 00:42:36 2019	1566081756	0	3	3	3
Sun Aug 18 00:42:36 2019	1566081756	0	3	3	3
Sun Aug 18 00:42:31 2019	1566081751	0	3	3	3
Sun Aug 18 00:42:34 2019	1566081754	0	3	3	3
Sun Aug 18 00:42:44 2019	1566081764	0	3	3	3
Sun Aug 18 00:42:27 2019	1566081747	0	3	3	3
Sun Aug 18 00:42:25 2019	1566081745	0	3	3	3
Sun Aug 18 00:42:29 2019	1566081749	0	3	3	3
Sun Aug 18 00:42:40 2019	1566081760	0	3	3	3
